Name;Str.;Hnr.;PLZ;Ort;Landkreis;Ansprechpartner;Tel.;Fax;E-Mail;Webseite;Kategorie;Angebote;"HTML-Inhalt ""weitere Infos""";lat;lng
"Helferkreis Ludwigslust-Parchim der comtact GmbH";"Club am Südring";-;19370;Parchim;;;"0385 3034-0";"0385 3034-110";info@comtact-dienste.de;;Selbsthilfe;Angehörigengruppe;;53.4165909;11.8408613
"Hausverwaltungsservice Fischer GmbH";Ziegelhof;11;17489;Greifswald;;;03834-508944;;helgefischer@t-online.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;54.0904563;13.3507792
"H&RS GmbH";"Neue Strandstr.";9;17454;Zinnowitz;;;038377-36449;;hrs-gmbh-zinnowitz@web.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;54.0766074;13.9081868
"VossenCARE Pflegeservice - Christian Voß";Gartenstraße;12a;17449;Bannemin;;;0151-61829441;;info@vossen-care.de;;"Unterstützung im Alltag";"Entlastung im Alltag durch individuelle Hilfen";;54.0651763;13.8553544
"Christopher Trieglaff";Kiefernweg;12;17449;Trassenheide;;;0173-8927886;;trieglaff09@gmail.com;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;54.0840228;13.871578
"agilo24 Andreas Zeuke";"Chaussee- Str.";46;17438;Wolgast;;;0800-7505750;;info@agilo24.de;;"Unterstützung im Alltag";"Entlastung im Alltag durch individuelle Hilfen";;54.051328;13.7672347
"Ge-Zu gUG - Michaela Damaris";"Anklamer Str.";4;17406;Usedom;;;038372-289925;;ge-zu.gug@web.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.8728806;13.9165846
"Hausfrauenart - Beate Bünting";"Neue Straße";13;17398;"Ducherow  OT Neuendorf A";;;039777-20151;;beate-buenting@gmx.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.7300568;13.8347408
"Dirk Spranger";Thurow;18;17391;"Medow  OT Thurow";;;0176-43529835;;Ankedirk84@googlemail.com;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.8054992;13.5372647
"Silke Leunig";Schulstraße;5;17379;Heinrichswalde;;;0160-92575128;;buchholz.silke@web.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag durch individuelle Hilfen";;53.6150787;13.7796501
"Uta Schulz";"Alte Dorfstr.";41;17375;Mönkebude;;;0170-6248352;;u.schulzdienstleistung@gmx.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.7692414;13.9665638
"Britta Lesch Alltagshilfe ""Einzigartig""";Platz;6;17375;Ahlbeck;;;0170-7535029;;alltagshilfebritta@web.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.66656;14.1901285
"Blaues Kreuz - Diakoniewerk Eggesin gGmbH";"Stettiner Straße";82;17367;Eggesin;;;039779-29755;;Mandy.Papke@gmx.net;;"Unterstützung im Alltag";"Entlastung von Pflegenden";;53.6816343;14.0787033
"Betreuungs Engel UG";Borkenstraße;14;17358;Torgelow;;;03976-255015;;betreuungsengelVG@gmail.com;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.63338;14.0013796
"Elke Höppner";Holländerei;56;17358;Torgelow;;;03976-2565722;;elkehoeppner@gmail.com;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.6533035;14.029795
"Team-Hase Alltagshilfe";Mühlenblick;4;17348;Woldegk;;;0172-7577938;;info@team-hase.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.4641839;13.5629994
"Sonnenhof-Uckermark Kirsten Strehlow";Schlepkow;47;17337;Uckerland;;;03974-586720;;info@sonnehof-uckermark.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.4207028;13.6915449
"Ines Brandt";Pfarrstraße;4;17335;Strasburg;;;0174-8921950;;ines.benny1966@gmail.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5079602;13.7454453
"André Wendler Personenbeförderung und haushaltsnahe Dienstleistungen";Starkshof;6;17309;Brietzig;;;0152-21960095;;andre_wendler@gmx.net;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.4920309;13.8816472
"J&D Hausmeister- und Gebäudeservice GbR";Dorfstraße;15;17309;Zerrenthin;;;03974-350516;;um-haus-und-garten@web.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.4914545;14.0871214
"Alles Rein - Jana Schulze";Mittelstr.;12;17255;Wesenberg;;;0170-4747177;;alles-rein@t-online.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.2822676;12.9692621
"Alltagsbegleitung - Kietsch";Dambeck;9;17237;Kratzeburg;;;039822-296289;;s_kietsch@web.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag durch individuelle Hilfen";;53.4454643;12.9372592
"AHS Alltagshilfe und Seniorenbegleitung";"Strelitzer Straße";13;17237;Userin;;;0151-70304701;;sonja3107@live.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag durch individuelle Hilfen";;53.3399768;12.9815186
"Brit Malchow - Mehr Glanz";"Wesenberger Str.";93a;17235;Neustrelitz;;;0152-34106250;;feel-goodhome@gmx.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.3350217;13.0868002
"I D A & Freunde e.V. ""Wohnen zu Hause""";"Tannenhof ";30;17235;Neustrelitz;;;03981-449434;;wohnenzuhause@ida-freunde.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.3839283;13.0476791
"Jutta Busch";Voßfelderstr.;24;17219;"Groß Varchow";;;0176-61113675;;info@busch-werk.eu;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.575949;12.938893
"""Ambulanter Betreuungsservice  Susan Eichloff""";Carlstein;3;17217;Penzlin;;;0177-8486886;;susan@provie-theater.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden";;53.5504228;13.0389788
"Knüppel, Gitta";"Am Dorfteich";23;17214;Silz;;;"0162-9894317 ";;gitti-heiko@t-online.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.5187971;12.4410916
"Alltagsbegleitung Herzallerliebst Kröger & Gräf GbR";Waldblick;17;17214;"Nossentiner Hütte";;;039927-768903;;info@alltagsbegleitung-herzallerliebst.de;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5277835;12.4244981
"Auszeit Alltagsbegleitung - Jeannine Mann";Parkstraße;20;17209;Jaebetz;;;0174-7052559;;auszeit.alltagsbegleitung@gmail.com;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.3188459;12.3670049
"Radloff, Nicole";Dorfstraße;4c;17207;"Groß Kelle";;;0152-55136392;;radloffnicole@yahoo.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.4067482;12.5461601
"Ramona Kohsendey-Holst";August-Bebel-Straße;18;17198;"Waren (Müritz)";;;0172-9051101;;Kylascotch71@gmx.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5208116;12.6723053
"Simona Zachä";Dorftsr.;2;17192;Klink;;;03991-732470;;g.r.schirmer@gmail.com;;"Unterstützung im Alltag";"Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.4641896;12.6044507
"Angie die Servicefee - Andrea Zimpel";Münzstraße;38;17179;Gnoien;;;0151-46600235;;info@reinigungsservice.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.9695705;12.7122364
"Seniorenservice Mecklenburg e.V.";"St. Florianstraße";14;17168;"Groß Wüstenfelde";;;039973-149007;;info@seniorenservice-mecklenburg.de;;"Unterstützung im Alltag";"Betreuungsgruppe, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.859364;12.5670942
"Hauswirtschaftliche Dienste, Christine Uecker";;;;;;;;;;;;;;;
"""Lebenshilfe für Behinderte Teterow und Umgebung e.V.""";Schillerstraße;23;17166;Teterow;;;03996-172218;;lebenshife_teterow@yahoo.de;;"Unterstützung im Alltag";"Betreuungsgruppe, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.7781227;12.5683371
"JK Beratung & Betreuung UG";"Dr. R. Rademacher-Str.";7;17154;Neukalen;;;0151-52574217;;jk-beratung-betreuung@email.de;;"Unterstützung im Alltag";"Entlastung im Alltag durch individuelle Hilfen";;53.8191474;12.7936088
"Franziska Lass";"Am Milchweg";18;17153;Ivenack;;;0174-7020675;;franziska.lass@outlook.de;;"Unterstützung im Alltag";"Entlastung im Alltag durch individuelle Hilfen";;53.7123693;12.9713455
"Alltagsbegleitung Mike Mylius";Gartenstr.;7;17129;Tutow;;;0152-08660189;;mike-mylius@gmx.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.9200643;13.2389655
"Alltagsbegleitung Holger Börst";"Quitzerower Weg";22;17109;Demmin;;;0172-9239473;;holger.55@gmx.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.9062315;13.0549798
"Heim- und Betriebsdienste koltz  GmbH & Co.KG";Kahldenwallweg;43;17109;Demmin;;;03998-253882;;info@haushaltsagentur-stark.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.9051507;13.0352556
"Vision ""Hilfe zur Selbsthilfe"" gGmbH";"Treptower Straße";35a;17109;Demmin;;;03998-209616;;kontakt@unserevision.de;;"Unterstützung im Alltag";"Betreuungsgruppe, Entlastung im Alltag durch individuelle Hilfen";;53.9038557;13.0420992
"Elisa Moosbrugger";Zwiedorf;15;17091;Wolde;;;0176-50931706;;info@reittherapie-loewenherz.de;;"Unterstützung im Alltag";"Entlastung im Alltag durch individuelle Hilfen";;53.69212;13.04908
"Lebenswerk MV";"Am Dorfteich";14a;17091;Knorrendorf;;;0162-9377763;;lebenswerk-mv@gmail.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.6324114;13.0659435
"PlanB - Haushalt u. Dienstleistungen Inh. Mandy Bülow";"Neddeminer Str.";9;17087;Altentreptow;;;0152-54675774;;planb-dienste@web.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.6905754;13.2611001
"Tillina Alltagsbegleitung & Hauswirtschaft Lisa Seibert";"Am Schloß";1;17039;"Brunn  OT Dahlen";;;0173-6471173;;hoffmann.lisa@arcor.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.6864002;13.4279293
"Alltagsunterstützung Vivien Pöhler";Mlada-Boleslaver-Str.;28;17036;Neubrandenburg;;;0175-9978461;;vivienpoehler@t-online.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.55278;13.30185
"Haushaltsunterstützung Katja Blank";"Am Widsoll";1;17036;Neubrandenburg;;;0176-84765501;;bonnyblank@yahoo.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.5552551;13.3278725
"DSB Landesverband M-V e.V.";Pawlowstraße;12;17036;Neubrandenburg;;;0395-7071833;;beratungsstelle-neubrandenburg@hoerbiko.de;;"Unterstützung im Alltag";Betreuungsgruppe;;53.5486464;13.2997355
"Lebenshilfe Neubrandenburg e.V.";"Mlada-Boleslaver Straße";3;17036;Neubrandenburg;;;0395-36290122;;fed@lebenshilfe-neubrandenburg.de;;"Unterstützung im Alltag";"Betreuungsgruppe, Entlastung im Alltag durch individuelle Hilfen";;53.5535132;13.3024509
"Vier-Tore Service GmbH";Ravensburgstraße;3;17034;Neubrandenburg;;;0172-2982652;;kontakt@vier-tore-service.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5627893;13.2701118
"Flinke Feger Haushaltsservice J. Knepel";Fasanenstr.;14b;17034;Neubrandenburg;;;0175-1547349;;info@flinkefeger-nb.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5649006;13.2614695
"ASB Arbeiter-Samariter-Bund RV Mecklenburgische Seenplatte e.V.";"Sponholzer Str.";18c;17034;Neubrandenburg;;;0395-4555715;;heike.maether@asb-nb-mst.de;;"Unterstützung im Alltag";"Entlastung im Alltag bei der Haushaltsführung";;53.5638935;13.2854287
"""Der Steg"" Verein der Freunde und Förderer psychisch Kranker und Behinderter e.V.";Weidegang;9;17034;Neubrandenburg;;;0395-77710;;info@der-steg.de;;"Unterstützung im Alltag";Betreuungsgruppe;;53.5705509;13.258465
"Alltagsbegleitung Christine Kohlmeyer";"Woldegker Str.";27;17033;Neubrandenburg;;;0395-77686432;;pflegeberatung@protonmail.com;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5587984;13.2748425
"Mecklenburger Alltagsfeen";Rotbuchenring;5;17033;Neubrandenburg;;"Grit Dohrmann";0395-37937547;;gritdohrmann@web.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5240678;13.2556684
"Schwester Susi - Ihre Alltags- und Pflegebegleitung";Johannes-Schondorf-Weg;1;17033;Neubrandenburg;;"Susann Hartmann";0174-9053387;;aozsusi@gmail.com;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";;53.5524693;13.2283724
"Alltagsbegleitung Kristin Drochner";"Schillerstraße ";18;17033;Neubrandenburg;;;0176-57898537;;kirstin.drochner@outlook.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung";;53.5536192;13.251587
"Schirmer, Ingrid - Alfi unterstützt";"Casekower Chaussee";15;16306;Casekow;;;0174-9088119;;ischirmer@yahoo.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung im Alltag bei der Haushaltsführung";;53.2402896;14.1682704
"Demenz-Pflege-Wohngemeinschaft ""Lebenswert WG 1"" Herrnburg";"Am Bahnhof";2;23923;Herrnburg;;;"0451-931 067 26  und  0176-823 513 46  ";;info@braukmann-gmbh.de;https://www.lebenswert-wg1.de/;Wohnen;"Wohngemeinschaft für Menschen mit Demenz";;53.8384266;10.7628511
"Alltagsbegleitung mit Herz";"Schulstraße ";7;17449;"Mölschow (Insel Usedom)";;"Janet Trehkopf";"038377 352849";;seelentropfenjk@web.de;;"Unterstützung im Alltag";"Einzelbetreuung, Entlastung von Pflegenden, Entlastung im Alltag bei der Haushaltsführung, Entlastung im Alltag durch individuelle Hilfen";"<p>Alltagsbegleitung mit Herz – Gemeinsam für ein erfülltes Leben</p> <p>Ich stehe Ihnen zur Seite – einfühlsam, verlässlich und individuell.</p> <p>Für ein gutes Miteinander biete ich Betreuung in der Häuslichkeit sowie Unterstützung und Entlastung im Alltag an. Mit meinen Serviceangeboten für haushaltsnahe Dienstleistungen erleichtere ich Ihnen den Alltag und schaffe Freiräume. Dabei passe ich meine Unterstützung ganz Ihren individuellen Bedürfnissen an – mit Herz und Engagement.</p> <p>Als anerkannte Anbieterin können meine Leistungen ab Pflegegrad 1 über die Pflegekasse abgerechnet werden.</p> <p>&nbsp;</p>";54.0644151;13.8547732
"Netzwerk ""Wir und Demenz"" in Neubrandenburg";-;-;17033;Neubrandenburg;;;"0395 351734-1009";;wirunddemenz-nb@gmx.de;https://www.netzwerk-demenz-nb.de/;Netzwerk;GeriCoach;"<p>Das Demenz-Netzwerk bietet Information, individuelle Beratung, psychosoziale Begleitung, Schulung im Umgang mit Menschen mit Demenz und Angehörigengruppen.</p> <p>Menschen mit Demenz zu Hause zu versorgen, kann für die Familie und Freunde sehr zeitintensiv sowie körperlich und seelisch belastend sein. Aus diesem Grund hat das Netzwerk Wir &amp; Demenz Neubrandenburg verschiedene Angebote entwickelt, um pflegende Angehörige zu unterstützen und ihnen kleine Freiräume zu verschaffen.</p> <p>Weiterführende Informationen zu unseren Angeboten entnehmen Sie bitte unserer Webseite.</p>";53.5329275;13.2623187
"Helferkreis Parchim der Comtact GmbH";"Werkstr. 4";"Haus 1";19061;Schwerin;;;"0385 / 30 34 0";;info@comtact-dienste.de;;Selbsthilfe;Angehörigengruppe;"<p><b>Angehörigen-Gesprächskreis für pflegende Angehörige von </b><b>Menschen mit Demenz</b><b> in Parchim</b></p> <p>Das Angebot richtet sich an Sie, wenn Sie Menschen mit Demenz betreuen oder pflegen. Sie können sich in<br /> der Runde mit anderen Angehörigen austauschen. Weiterhin gibt es fachliche Impulse zu Pflege- und<br /> betreuungsrelevanten Themen. Begleitet wird der Gesprächskreis von den Fachkräften des Helferkreises<br /> Parchim. Die Teilnahme ist kostenfrei. Eine Anmeldung ist nicht erforderlich. Wir treffen uns jeden ersten Montag im Monat im Club am Südring in Parchim von 13 &#8211; 15 Uhr. Kontakt: 0385 – 30 34 0 und helferkreis@comtact-dienste.de Ansprechpartner: Katharina Meißel und Christina Wornien</p>";53.5702701;11.3790656
GeriCoachin;-;-;23936;Grevesmühlen;;"Nicole Lüttjohann";"03881 - 3097";;;;GeriCoach;"GeriCoach, Dozentinnen/Dozenten, Angehörigenschulung, Demenz Partner - Schulungen";;53.8600277;11.1906933
GeriCoachin;-;-;17252;Mirow;;"Jessica Meincke";-;;Jessica.meincke@johanniter.de;;GeriCoach;"GeriCoach, Dozentinnen/Dozenten, Angehörigenschulung, Demenz Partner - Schulungen";;53.2753824;12.8175184
GeriCoachin;-;-;17033;Neubrandenburg;;"Nicole Hadrath";"0395 351712000";;nicole.hadrath@pro-persona.care;;GeriCoach;"GeriCoach, Dozentinnen/Dozenten, Angehörigenschulung, Demenz Partner - Schulungen";;53.5329275;13.2623187
GeriCoach;-;-;17489;Greifswald;;"René Huth";"0179 4121915";;r.s-huth@t-online.de;;GeriCoach;"GeriCoach, Dozentinnen/Dozenten, Angehörigenschulung, Demenz Partner - Schulungen";;54.0777776;13.3803558
GeriCoach;-;-;17033;Neubrandenburg;;"Gerd Bekel";"0395 351712000";;gerd.bekel@pro-persona.care;;GeriCoach;"GeriCoach, Dozentinnen/Dozenten, Angehörigengruppe, Angehörigenschulung, Demenz Partner - Schulungen";;53.5329275;13.2623187
